# Time (s), Freestream Velocity Z (m/s), Az (m/s²)
0.000000,0.000000,0.000000
0.000010,0.000000,-0.000000
0.000020,0.000000,0.000000
0.010000,0.000000,-0.000000
0.011193,-0.001374,1.150903
0.012387,-0.004138,2.316243
0.014774,-0.012449,4.647013
0.017161,-0.026323,6.977935
0.019548,-0.045761,9.309032
0.020000,-0.050069,9.750499
0.020452,-0.054576,10.191976
0.020904,-0.059283,10.633458
0.021356,-0.064190,11.074944
0.025876,-0.124231,15.490296
0.030000,-0.196413,19.519170
0.034124,-0.285210,23.548867
0.038247,-0.390626,27.579233
0.040000,-0.440469,29.292827
0.041753,-0.493316,31.006861
0.043506,-0.549167,32.721058
0.045258,-0.608024,34.435420
0.050000,-0.782298,39.073783
0.054742,-0.978570,43.714724
0.059483,-1.196852,48.357589
0.060000,-1.221978,48.863803
0.060517,-1.247366,49.370034
0.061034,-1.273015,49.876284
0.061551,-1.298926,50.382552
0.066719,-1.572433,55.447937
0.070000,-1.759608,58.664382
0.073281,-1.957337,61.881700
0.076561,-2.165621,65.100384
0.079842,-2.384468,68.320904
0.080000,-2.395300,68.476412
0.080158,-2.406157,68.631923
0.080317,-2.417038,68.787436
0.080475,-2.427944,68.942952
0.080633,-2.438874,69.098469
0.082217,-2.549397,70.446500
0.083801,-2.661166,70.489618
0.085384,-2.772832,70.532744
0.086968,-2.884566,70.575880
0.090000,-3.098671,70.658474
0.093032,-3.313027,70.741097
0.096064,-3.527634,70.823745
0.100000,-3.806619,70.931081
0.103936,-4.086026,71.038455
0.107872,-4.365856,71.145884
0.110000,-4.517294,71.203965
0.112128,-4.668855,71.262066
0.114255,-4.820539,71.320178
0.116383,-4.972347,71.378297
0.120000,-5.230699,71.477205
0.123617,-5.489409,71.576149
0.127234,-5.748476,71.675114
0.130000,-5.946839,71.750813
0.132766,-6.145411,71.826523
0.135532,-6.344193,71.902247
0.138298,-6.543184,71.977983
0.140000,-6.665716,72.024586
0.141702,-6.788327,72.071191
0.143404,-6.911018,72.117799
0.145105,-7.033788,72.164411
0.146807,-7.156638,72.211027
0.150000,-7.387331,72.298497
0.153193,-7.618304,72.385982
0.156386,-7.849556,72.473483
0.159578,-8.081087,72.561021
0.160000,-8.111686,72.572601
0.160422,-8.142290,72.584182
0.160843,-8.172899,72.595763
0.165060,-8.479256,72.711590
0.169277,-8.786101,72.827443
0.170000,-8.838786,72.847319
0.170723,-8.891485,72.867195
0.171447,-8.944198,72.887073
0.172170,-8.996926,72.906951
0.179403,-9.524996,73.105777
0.180000,-9.568633,73.122186
0.180597,-9.612280,73.138596
0.181194,-9.655937,73.155006
0.181791,-9.699603,73.171417
0.187759,-10.136805,73.335556
0.190000,-10.301230,73.397214
0.192241,-10.465793,73.458880
0.194482,-10.630494,73.520554
0.196723,-10.795333,73.582235
0.200000,-11.036578,73.672428
0.203277,-11.278119,73.762733
0.206553,-11.519955,73.853128
0.209830,-11.762088,73.943541
0.210000,-11.774681,73.948240
0.210170,-11.787275,73.952940
0.210341,-11.799869,73.957640
0.212044,-11.925858,74.004639
0.213747,-12.051927,74.051644
